symbol	phylostratum	taxon_name
SYNDIG1L	7	Vertebrata
RBMY1B	4	Eukaryota
GAGE12H	8	Mammalia
PGP	1	Cellular_organisms
OR5H15	8	Mammalia
TRIM49B	8	Mammalia
GOLGA6C	8	Mammalia
METTL21EP	7	Vertebrata
OR6C68	8	Mammalia
GOLGA6B	8	Mammalia
MYADML2	7	Vertebrata
TBC1D3B	4	Eukaryota
RIMOC1	6	Eumetazoa
TMEM8B	4	Eukaryota
ZNF840P	5	Opisthokonta
PABPN1L	4	Eukaryota
FAM90A10	8	Mammalia
MBD3L4	6	Eumetazoa
FAM186A	6	Eumetazoa
BTBD17	6	Eumetazoa
WDR97	6	Eumetazoa
MBD3L3	6	Eumetazoa
NPEPPSL1	3	Euk+Bac
TSPY4	8	Mammalia
RCCD1	6	Eumetazoa
PLEKHD1	6	Eumetazoa
GOLGA6L4	8	Mammalia
TMEM247	8	Mammalia
ARRDC5	8	Mammalia
SOWAHB	6	Eumetazoa
FAM86C2P	4	Eukaryota
GOLGA6L9	8	Mammalia
CXORF65	6	Eumetazoa
RBMY1E	4	Eukaryota
FAM181B	6	Eumetazoa
TBC1D3F	4	Eukaryota
GAGE12J	8	Mammalia
MROH2A	4	Eukaryota
OR5K3	8	Mammalia
PRR23A	8	Mammalia
PRORSD1P	3	Euk+Bac
ANTXRL	8	Mammalia
CCDC182	8	Mammalia
NUPR2	8	Mammalia
OR6C6	8	Mammalia
SPATA31F3	8	Mammalia
TRABD2B	6	Eumetazoa
TMEM235	7	Vertebrata
OR2W5P	8	Mammalia
HELT	7	Vertebrata
SMCO2	8	Mammalia
EFCAB10	4	Eukaryota
NAP1L6P	8	Mammalia
FABP12	6	Eumetazoa
ZNF316	5	Opisthokonta
GRXCR2	7	Vertebrata
RBFOX3	4	Eukaryota
ANKUB1	6	Eumetazoa
TCAF2	3	Euk+Bac
DPRX	6	Eumetazoa
SPATA31J1	8	Mammalia
CFAP73	4	Eukaryota
FAM187A	6	Eumetazoa
PGPEP1L	1	Cellular_organisms
MFSD2B	3	Euk+Bac
NEMP2	6	Eumetazoa
SDHAF1	6	Eumetazoa
FAM24A	8	Mammalia
MGAT4D	5	Opisthokonta
TMEM202	8	Mammalia
TMEM191C	8	Mammalia
TMEM221	8	Mammalia
WIPF3	7	Vertebrata
TLCD2	6	Eumetazoa
ZSCAN5C	8	Mammalia
DCAF8L1	1	Cellular_organisms
URAD	3	Euk+Bac
LINC03041	8	Mammalia
PCARE	5	Opisthokonta
CCDC160	6	Eumetazoa
ANKRD61	8	Mammalia
TRIM64	8	Mammalia
GAGE10	8	Mammalia
PRAMEF25	8	Mammalia
IGLON5	6	Eumetazoa
OOEP	8	Mammalia
MROH6	8	Mammalia
ERICH4	8	Mammalia
FRG2C	8	Mammalia
C5ORF52	8	Mammalia
OR51F1	7	Vertebrata
SMIM9	8	Mammalia
OR2T8	8	Mammalia
GLTPD2	8	Mammalia
DNAJC9-AS1	8	Mammalia
SERINC4	4	Eukaryota
TVP23A	4	Eukaryota
ARL5C	4	Eukaryota
OR4C46	8	Mammalia
CAPN8	4	Eukaryota
DDTL	4	Eukaryota
OR5H14	8	Mammalia
ZNF860	8	Mammalia
TUBAL3	8	Mammalia
MOXD2P	6	Eumetazoa
OTOL1	6	Eumetazoa
NPIPB15	8	Mammalia
SPDYE2B	6	Eumetazoa
FBLL1	2	Euk_Archaea
EPOP	8	Mammalia
FAM47DP	6	Eumetazoa
SMCHD1	6	Eumetazoa
MANSC4	8	Mammalia
HMX3	6	Eumetazoa
CASTOR2	6	Eumetazoa
ANKDD1B	7	Vertebrata
LRRC14B	7	Vertebrata
TRIM64B	8	Mammalia
MSGN1	7	Vertebrata
ARHGAP42	7	Vertebrata
POTEM	8	Mammalia
CCDC154	6	Eumetazoa
MYMK	6	Eumetazoa
NCF1B	5	Opisthokonta
LILRA5	7	Vertebrata
CCDC69	7	Vertebrata
GOLGA6L10	8	Mammalia
CBY3	8	Mammalia
RRN3P2	4	Eukaryota
PRSS29P	6	Eumetazoa
UNC119B	4	Eukaryota
FAM90A20	8	Mammalia
OR6C70	7	Vertebrata
LRRC10B	4	Eukaryota
SLC15A5	6	Eumetazoa
RNF227	8	Mammalia
AGAP5	8	Mammalia
LINC01549	8	Mammalia
LRRIQ4	4	Eukaryota
WTIP	6	Eumetazoa
SPDYE5	6	Eumetazoa
RAP1BL	4	Eukaryota
MBD3L5	6	Eumetazoa
NKX6-3	7	Vertebrata
NPIPB2	8	Mammalia
IGIP	8	Mammalia
METTL15	3	Euk+Bac
SAGE2P	4	Eukaryota
PRR19	8	Mammalia
SOWAHD	6	Eumetazoa
ARGFX	8	Mammalia
C11ORF86	8	Mammalia
LRRC72	6	Eumetazoa
C19ORF67	7	Vertebrata
ZSCAN5B	5	Opisthokonta
FAM90A8	8	Mammalia
UNCX	6	Eumetazoa
NPIPB13	8	Mammalia
CIMIP2C	6	Eumetazoa
LRRC3C	6	Eumetazoa
CD8B2	7	Vertebrata
SLC9B1P1	8	Mammalia
TMEM238L	8	Mammalia
OR6C65	8	Mammalia
RIMBP3C	6	Eumetazoa
TRIM75	4	Eukaryota
ACOD1	3	Euk+Bac
GLOD5	3	Euk+Bac
ZNF233	8	Mammalia
LIPT2	3	Euk+Bac
ASB14	3	Euk+Bac
ZNF98	8	Mammalia
RASSF10	6	Eumetazoa
SLC22A20P	3	Euk+Bac
PCNX2	7	Vertebrata
FAM90A7	8	Mammalia
SH2D7	8	Mammalia
TSPY2	4	Eukaryota
CCDC85C	6	Eumetazoa
SAC3D1	4	Eukaryota
ARID3C	6	Eumetazoa
TMEM278	8	Mammalia
RTL1	5	Opisthokonta
RPL37AP8	2	Euk_Archaea
OR5H1	8	Mammalia
TMEM200C	7	Vertebrata
PCP4L1	8	Mammalia
SDR42E2	3	Euk+Bac
RGPD3	6	Eumetazoa
SPDYE3	6	Eumetazoa
SHISAL2B	7	Vertebrata
FAM223B	8	Mammalia
SLC22A31	4	Eukaryota
OR6C75	8	Mammalia
OR5B21	7	Vertebrata
CFAP144	6	Eumetazoa
SHISA7	7	Vertebrata
C3ORF70	7	Vertebrata
TAF11L2	4	Eukaryota
SMIM23	8	Mammalia
TRIM64C	8	Mammalia
C2CD4B	8	Mammalia
TTC36	5	Opisthokonta
RFPL4A	8	Mammalia
VSTM2B	7	Vertebrata
DUXA	8	Mammalia
SPDYE4	8	Mammalia
TMEM210	8	Mammalia
OR2AG2	8	Mammalia
AQP12B	6	Eumetazoa
LRRC37A2	8	Mammalia
ZFP92	5	Opisthokonta
LRRC30	7	Vertebrata
CCT8L1P	2	Euk_Archaea
CLDN24	7	Vertebrata
LRRC53	8	Mammalia
OR6C76	8	Mammalia
TRPC5OS	8	Mammalia
SIGLEC16	6	Eumetazoa
FIGNL2	4	Eukaryota
IFITM10	7	Vertebrata
GOLGA8J	8	Mammalia
CPSF4L	4	Eukaryota
INSYN2B	7	Vertebrata
TMEM212	7	Vertebrata
FAM170B	8	Mammalia
OR5K4	8	Mammalia
LRRC37A	8	Mammalia
DBX1	6	Eumetazoa
OR52A4P	8	Mammalia
EIF4E1B	4	Eukaryota
ANXA2P2	7	Vertebrata
SNTN	7	Vertebrata
OR4C45	8	Mammalia
COL6A6	7	Vertebrata
ZNF729	8	Mammalia
GOLGA8CP	7	Vertebrata
C2ORF81	6	Eumetazoa
GJE1	7	Vertebrata
SRRM3	7	Vertebrata
DRGX	6	Eumetazoa
IFITM5	7	Vertebrata
OR2AT4	8	Mammalia
MARCHF11	5	Opisthokonta
ZNF726	8	Mammalia
FAM90A27P	8	Mammalia
FAM90A9	8	Mammalia
NUTM2B	8	Mammalia
C15ORF61	6	Eumetazoa
RIMBP3B	6	Eumetazoa
TTLL13	4	Eukaryota
SLC38A8	4	Eukaryota
CCDC169	6	Eumetazoa
DHRS7C	3	Euk+Bac
C16ORF96	6	Eumetazoa
SPDYE16	6	Eumetazoa
ENO4	1	Cellular_organisms
RIIAD1	6	Eumetazoa
USP27X	4	Eukaryota
TUBB8B	4	Eukaryota
ZNF716	8	Mammalia
ZAR1L	6	Eumetazoa
TTLL8	4	Eukaryota
NCBP2L	4	Eukaryota
KNCN	8	Mammalia
LRRIQ3	6	Eumetazoa
FAM177B	6	Eumetazoa
ABTB3	4	Eukaryota
ANKRD36	8	Mammalia
YJEFN3	1	Cellular_organisms
RTL8C	8	Mammalia
GOLGA8A	8	Mammalia
ANKRD30BL	3	Euk+Bac
CFAP96	4	Eukaryota
ZSWIM8	6	Eumetazoa
MYH7B	4	Eukaryota
ARHGAP32	6	Eumetazoa
DISP2	7	Vertebrata
TBKBP1	3	Euk+Bac
SRRM4	7	Vertebrata
SOBP	6	Eumetazoa
POM121C	7	Vertebrata
ZNF839	6	Eumetazoa
WASHC1	4	Eukaryota
A2ML1	3	Euk+Bac
CD300LB	7	Vertebrata
C15ORF62	7	Vertebrata
CLCA1	6	Eumetazoa
POU2AF3	8	Mammalia
EFCAB7	6	Eumetazoa
SFI1	5	Opisthokonta
ZNF785	5	Opisthokonta
ERI2	3	Euk+Bac
DDX11L8	1	Cellular_organisms
YDJC	3	Euk+Bac
PP2D1	6	Eumetazoa
GABRR3	7	Vertebrata
CYSRT1	8	Mammalia
PMS2P5	8	Mammalia
ZNF850	5	Opisthokonta
NEURL1B	6	Eumetazoa
GOLGA8B	8	Mammalia
NPIPB5	8	Mammalia
LYRM9	6	Eumetazoa
RHPN2P1	8	Mammalia
SYCE1L	8	Mammalia
ZNF891	6	Eumetazoa
CENPX	8	Mammalia
ZBBX	6	Eumetazoa
CIMIP2B	6	Eumetazoa
CEACAM18	8	Mammalia
PRSS47P	6	Eumetazoa
GNAT3	4	Eukaryota
FOXI3	5	Opisthokonta
IQCF5	8	Mammalia
RNF212B	4	Eukaryota
HMSD	3	Euk+Bac
NOTO	6	Eumetazoa
CEBPZOS	8	Mammalia
ZNF724	8	Mammalia
KRTAP9-7	8	Mammalia
BBIP1	6	Eumetazoa
C12ORF71	8	Mammalia
SMTNL1	5	Opisthokonta
C17ORF100	8	Mammalia
USP17L5	4	Eukaryota
KRTAP5-4	8	Mammalia
CSKMT	6	Eumetazoa
GSG1L2	6	Eumetazoa
ZNF727	5	Opisthokonta
KRTAP16-1	4	Eukaryota
ZNF705G	6	Eumetazoa
SERPINE3	1	Cellular_organisms
SPMAP1	6	Eumetazoa
MPTX1	8	Mammalia
VGLL3	7	Vertebrata
HIGD1C	8	Mammalia
KRTAP9-6	4	Eukaryota
HIDE1	8	Mammalia
NCF1C	5	Opisthokonta
FAM171A2	7	Vertebrata
HEPACAM2	6	Eumetazoa
ARHGEF33	7	Vertebrata
PHF20L1	6	Eumetazoa
BECN2	4	Eukaryota
MEI4	6	Eumetazoa
ZNF705EP	6	Eumetazoa
FAM90A22	8	Mammalia
SNRPGP15	4	Eukaryota
EFCAB8	8	Mammalia
FADS2B	3	Euk+Bac
TMEM14DP	4	Eukaryota
GABRG2	6	Eumetazoa
WASH4P	4	Eukaryota
ELAPOR2	4	Eukaryota
FAM90A12	8	Mammalia
KRTAP29-1	4	Eukaryota
CAPN14	4	Eukaryota
GRXCR1	4	Eukaryota
B3GALT9	7	Vertebrata
FAM90A5	8	Mammalia
VSTM5	7	Vertebrata
IQANK1	4	Eukaryota
MAGEB17	8	Mammalia
DEFB108A	8	Mammalia
NUDT19	3	Euk+Bac
CDRT15L2	8	Mammalia
ZNF99	8	Mammalia
FAM90A23	8	Mammalia
KRTAP9-1	8	Mammalia
LACTBL1	3	Euk+Bac
CXORF49;	8	Mammalia
TMCO5B	8	Mammalia
TTC34	6	Eumetazoa
CIMAP1B	4	Eukaryota
KCNU1	4	Eukaryota
DCDC2C	8	Mammalia
MINDY4B	6	Eumetazoa
IQCF6	8	Mammalia
FOXO6	6	Eumetazoa
EFCAB9	6	Eumetazoa
EVPLL	8	Mammalia
LEUTX	8	Mammalia
C2ORF74	8	Mammalia
GOLGA6L6	3	Euk+Bac
PRR33	7	Vertebrata
C16ORF90	8	Mammalia
OOSP1	8	Mammalia
COL6A5	8	Mammalia
KPNA7	7	Vertebrata
MIF4GD	6	Eumetazoa
AHRR	6	Eumetazoa
UPK3BL1	7	Vertebrata
MYO1G	4	Eukaryota
CCHCR1	7	Vertebrata
HACD1	4	Eukaryota
FHAD1	4	Eukaryota
ESPN	5	Opisthokonta
SNURFL	8	Mammalia
RP4-695O20__B.10	8	Mammalia
ISM1	7	Vertebrata
NUTM2E	8	Mammalia
NALF1	6	Eumetazoa
LINC00587	8	Mammalia
WDR64	4	Eukaryota
FAM220BP	8	Mammalia
ZNF487	6	Eumetazoa
PRR32	8	Mammalia
RSPH10B2	4	Eukaryota
CENPBD1P	8	Mammalia
OR11H12	7	Vertebrata
C1QTNF9B	5	Opisthokonta
HMGB1P1	4	Eukaryota
MYO9A	4	Eukaryota
VWC2L	6	Eumetazoa
SMIM1	8	Mammalia
CFAP97D1	6	Eumetazoa
TMEM229A	6	Eumetazoa
ZBTB42	6	Eumetazoa
KDM4E	4	Eukaryota
BTBD18	8	Mammalia
PATE3	8	Mammalia
HCG_2015407	4	Eukaryota
TMEM138	8	Mammalia
PIGQ	7	Vertebrata
SARS2	2	Euk_Archaea
OVOL3	6	Eumetazoa
DNASE2	4	Eukaryota
AGPS	1	Cellular_organisms
UBXN8	6	Eumetazoa
KIF2A	4	Eukaryota
SGK1	4	Eukaryota
TK2	6	Eumetazoa
FZD9	6	Eumetazoa
DDX39A	1	Cellular_organisms
PDLIM1	7	Vertebrata
ACOT7	1	Cellular_organisms
GPR25	6	Eumetazoa
MYO1C	4	Eukaryota
MYO1F	4	Eukaryota
SNAP23	4	Eukaryota
HAX1	6	Eumetazoa
EYA2	6	Eumetazoa
FXYD1	7	Vertebrata
AIP	4	Eukaryota
CCL24	8	Mammalia
GTPBP1	1	Cellular_organisms
KCNK1	6	Eumetazoa
LGALS9	6	Eumetazoa
STXBP3	4	Eukaryota
MASP2	6	Eumetazoa
AP4M1	4	Eukaryota
ARVCF	6	Eumetazoa
SMAP	6	Eumetazoa
RAB27B	4	Eukaryota
HRK	8	Mammalia
AP3B1	4	Eukaryota
SULT2B1	8	Mammalia
TLR4	7	Vertebrata
RHOD	4	Eukaryota
APBB1	6	Eumetazoa
LGALS8	6	Eumetazoa
NDUFS8	1	Cellular_organisms
HAS3	3	Euk+Bac
TNFRSF10A	7	Vertebrata
NFKBIE	5	Opisthokonta
GRM8	6	Eumetazoa
CORT	8	Mammalia
PSMD11	4	Eukaryota
PSMD12	4	Eukaryota
PSMD9	4	Eukaryota
RNF103	6	Eumetazoa
BMPR1B	4	Eukaryota
SIRPB1	7	Vertebrata
ATOX1	4	Eukaryota
AGRP	7	Vertebrata
F2RL2	6	Eumetazoa
MEN1	4	Eukaryota
CBX4	7	Vertebrata
GET1	5	Opisthokonta
PGRMC1	4	Eukaryota
SUPT5H	4	Eukaryota
TAF4	4	Eukaryota
GPR31	6	Eumetazoa
DFFA	6	Eumetazoa
RFXAP	6	Eumetazoa
HIP1	4	Eukaryota
LEFTY2	6	Eumetazoa
TULP1	4	Eukaryota
TULP2	4	Eukaryota
CLIC1	4	Eukaryota
TNFRSF11B	6	Eumetazoa
EIF3F	4	Eukaryota
CACNB4	5	Opisthokonta
WWP2	4	Eukaryota
CDC7	4	Eukaryota
ETV2	8	Mammalia
UPK1A	7	Vertebrata
BMAL1	6	Eumetazoa
PIK3CD	4	Eukaryota
PDHX	3	Euk+Bac
SLC28A1	3	Euk+Bac
SULT1C2	4	Eukaryota
MATN2	7	Vertebrata
SLC1A7	1	Cellular_organisms
FOXE1	6	Eumetazoa
QSOX1	4	Eukaryota
P2RY10	7	Vertebrata
DCTN6	4	Eukaryota
SLC33A1	4	Eukaryota
WASL	4	Eukaryota
PDE2A	4	Eukaryota
FOXN3	6	Eumetazoa
IPO5	4	Eukaryota
POLRMT	4	Eukaryota
EEF2K	4	Eukaryota
CCRL2	8	Mammalia
SAP18	4	Eukaryota
EML1	3	Euk+Bac
IGF2BP3	5	Opisthokonta
DNM1L	4	Eukaryota
RTCA	1	Cellular_organisms
PIK3C2A	4	Eukaryota
PLK4	6	Eumetazoa
SYT5	8	Mammalia
GFRA2	7	Vertebrata
LST1	8	Mammalia
IFRD1	4	Eukaryota
PIK3R2	7	Vertebrata
GOLIM4	6	Eumetazoa
MANBA	3	Euk+Bac
TRAF5	4	Eukaryota
AGRN	6	Eumetazoa
PLOD2	5	Opisthokonta
MEIS1	4	Eukaryota
EXOC5	4	Eukaryota
ELL2	6	Eumetazoa
SLC17A3	1	Cellular_organisms
BTN3A3	8	Mammalia
HMGN4	8	Mammalia
BTN3A1	6	Eumetazoa
NR5A2	6	Eumetazoa
COXFA4	5	Opisthokonta
PSMD14	4	Eukaryota
ZNF593	4	Eukaryota
BIN1	6	Eumetazoa
CLDN5	6	Eumetazoa
KPNA3	4	Eukaryota
STK25	4	Eukaryota
USP9Y	4	Eukaryota
BCL9	7	Vertebrata
LAD1	7	Vertebrata
FAAH	5	Opisthokonta
KRIT1	5	Opisthokonta
UPK2	8	Mammalia
CHL1	6	Eumetazoa
VWA5A	3	Euk+Bac
PES1	4	Eukaryota
DLL1	4	Eukaryota
CACNA1A	7	Vertebrata
EBAG9	6	Eumetazoa
SDCBP	5	Opisthokonta
PITPNM1	4	Eukaryota
MPHOSPH10	4	Eukaryota
NOP56	2	Euk_Archaea
SOX1	6	Eumetazoa
DDX3X	4	Eukaryota
CXCR6	7	Vertebrata
RNASET2	4	Eukaryota
CCL21	7	Vertebrata
MFNG	6	Eumetazoa
ACKR2	7	Vertebrata
GABRP	6	Eumetazoa
PODXL	7	Vertebrata
FCN1	6	Eumetazoa
CCN1	6	Eumetazoa
PEX12	4	Eukaryota
SLC17A2	1	Cellular_organisms
PIR	1	Cellular_organisms
CCL22	8	Mammalia
PEX7	4	Eukaryota
KPNA4	4	Eukaryota
SLN	8	Mammalia
NTN3	6	Eumetazoa
TRIM38	6	Eumetazoa
NFIB	6	Eumetazoa
E2F3	4	Eukaryota
PPP6C	4	Eukaryota
WNT10B	6	Eumetazoa
NME4	1	Cellular_organisms
CES2	3	Euk+Bac
PIK3C2B	4	Eukaryota
MAN2B1	4	Eukaryota
WNT7A	6	Eumetazoa
FBP2	1	Cellular_organisms
UBE2C	4	Eukaryota
ACACB	4	Eukaryota
PDXK	3	Euk+Bac
SCD	3	Euk+Bac
DLGAP1	6	Eumetazoa
SH2B2	6	Eumetazoa
CLDN4	7	Vertebrata
PLPP1	6	Eumetazoa
PLPP3	6	Eumetazoa
ARID1A	6	Eumetazoa
ISLR	6	Eumetazoa
BHLHE40	7	Vertebrata
SOCS2	6	Eumetazoa
NRG2	7	Vertebrata
SOCS7	6	Eumetazoa
NCKAP5	7	Vertebrata
ADGRB1	7	Vertebrata
CDK2AP1	6	Eumetazoa
SDHD	5	Opisthokonta
PTPRT	6	Eumetazoa
C2CD2L	7	Vertebrata
NEMP1	6	Eumetazoa
ASTN1	6	Eumetazoa
FCHO1	4	Eukaryota
CUX2	7	Vertebrata
TXNDC9	4	Eukaryota
DPYSL4	3	Euk+Bac
SOCS3	6	Eumetazoa
SOCS6	6	Eumetazoa
TRAFD1	4	Eukaryota
COX7A2L	6	Eumetazoa
GAPDHS	3	Euk+Bac
HSPB6	8	Mammalia
ARHGAP33	6	Eumetazoa
NDUFAB1	3	Euk+Bac
UBFD1	4	Eukaryota
CYB561D2	5	Opisthokonta
DYNC1I1	4	Eukaryota
CIT	4	Eukaryota
COPE	4	Eukaryota
OR7A17	8	Mammalia
RFXANK	6	Eumetazoa
NCAN	7	Vertebrata
CTDSP2	4	Eukaryota
VCY	8	Mammalia
BPY2	8	Mammalia
EIF1AY	2	Euk_Archaea
PRY	8	Mammalia
TMSB4Y	8	Mammalia
UTY	4	Eukaryota
XKRY	7	Vertebrata
GNGT2	7	Vertebrata
CDC42EP2	7	Vertebrata
AP3D1	4	Eukaryota
CCS	4	Eukaryota
CXCL11	7	Vertebrata
GPR171	6	Eumetazoa
CDX4	6	Eumetazoa
ZNF195	5	Opisthokonta
LCE2B	8	Mammalia
ENPP3	6	Eumetazoa
ABLIM1	6	Eumetazoa
DVL1	6	Eumetazoa
DVL2	6	Eumetazoa
DNALI1	4	Eukaryota
CHD1	4	Eukaryota
CHD2	1	Cellular_organisms
KCNK3	7	Vertebrata
GOSR2	4	Eukaryota
IRS4	6	Eumetazoa
TOR1A	6	Eumetazoa
TOR1B	6	Eumetazoa
STX16	2	Euk_Archaea
PRRG1	7	Vertebrata
PRRG2	6	Eumetazoa
ADAM10	5	Opisthokonta
ABCD4	3	Euk+Bac
EI24	4	Eukaryota
ENC1	4	Eukaryota
TP53I11	6	Eumetazoa
PTGES	3	Euk+Bac
KMT2D	7	Vertebrata
ZNF197	5	Opisthokonta
ITGB1BP1	6	Eumetazoa
RGPD8	6	Eumetazoa
TRDMT1	3	Euk+Bac
RRH	6	Eumetazoa
APAF1	3	Euk+Bac
